epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6311.68,1.0174,0.76906,1.1218,0.72635,0.61465,0.69107,0.45695,1.11734,0.84128,1.17725,0.000551238,0.000551238,0.000551238
43,6461.47,1.02273,0.76684,1.10768,0.73933,0.63513,0.69624,0.45745,1.12679,0.83616,1.18392,0.000544365,0.000544365,0.000544365
44,6611.37,1.03748,0.76411,1.12759,0.72108,0.64945,0.7041,0.46298,1.12071,0.82963,1.18331,0.000537493,0.000537493,0.000537493
45,6761.03,1.01988,0.76076,1.1196,0.75101,0.62691,0.70433,0.46669,1.11939,0.82362,1.1873,0.000530621,0.000530621,0.000530621
46,6911.05,1.01199,0.75366,1.11058,0.71528,0.65237,0.70144,0.46199,1.11018,0.82462,1.17679,0.000523749,0.000523749,0.000523749
47,7060.73,0.9973,0.73278,1.10618,0.7273,0.65286,0.71189,0.46691,1.11479,0.81252,1.18407,0.000516877,0.000516877,0.000516877
48,7210.73,0.99387,0.73306,1.10377,0.76593,0.62762,0.71504,0.47488,1.11207,0.81532,1.17891,0.000510004,0.000510004,0.000510004
49,7360.66,1.01693,0.78505,1.11497,0.74856,0.6453,0.7051,0.47298,1.1044,0.80828,1.17595,0.000503132,0.000503132,0.000503132
50,7510.54,0.99735,0.72892,1.10895,0.7576,0.63283,0.71127,0.47288,1.10648,0.81514,1.17753,0.00049626,0.00049626,0.00049626
51,7660.2,0.98798,0.7176,1.10366,0.75892,0.62277,0.71288,0.47068,1.10367,0.80664,1.17087,0.000489387,0.000489387,0.000489387
52,7810.04,0.9773,0.70252,1.08948,0.74511,0.65248,0.71173,0.47275,1.09686,0.79898,1.1717,0.000482515,0.000482515,0.000482515
53,7959.8,0.98208,0.7018,1.09648,0.73694,0.63783,0.70879,0.47395,1.10839,0.79824,1.18143,0.000475643,0.000475643,0.000475643
54,8109.57,0.96667,0.69892,1.08387,0.7594,0.63557,0.70702,0.46846,1.1116,0.80656,1.1773,0.000468771,0.000468771,0.000468771
55,8259.37,0.97856,0.70753,1.08953,0.73504,0.67229,0.72892,0.49106,1.08245,0.77806,1.16402,0.000461898,0.000461898,0.000461898
56,8409.36,0.95881,0.68072,1.08775,0.76137,0.65027,0.72042,0.47504,1.08575,0.78825,1.16734,0.000455026,0.000455026,0.000455026
57,8559.14,0.95954,0.68904,1.08639,0.75853,0.66094,0.72838,0.48949,1.08616,0.76745,1.16854,0.000448154,0.000448154,0.000448154
58,8708.91,0.94859,0.67307,1.08087,0.75084,0.67355,0.72369,0.48672,1.08528,0.77625,1.16277,0.000441282,0.000441282,0.000441282
59,8858.74,0.95366,0.67037,1.07551,0.75947,0.65647,0.72054,0.48586,1.08526,0.78733,1.16767,0.000434409,0.000434409,0.000434409
60,9008.74,0.94632,0.68906,1.07086,0.76201,0.65378,0.72077,0.48437,1.08571,0.77899,1.16184,0.000427537,0.000427537,0.000427537
61,9158.71,0.94722,0.65776,1.06967,0.76166,0.64806,0.72589,0.49001,1.08706,0.77989,1.16297,0.000420665,0.000420665,0.000420665
62,9308.66,0.93692,0.6539,1.06251,0.76505,0.65175,0.72399,0.48802,1.0817,0.78213,1.16366,0.000413793,0.000413793,0.000413793
63,9458.44,0.93057,0.64854,1.06538,0.76995,0.65419,0.72743,0.48836,1.0835,0.76853,1.16966,0.00040692,0.00040692,0.00040692
